t (s), WC (mm), RC (mm), Rf (mm)
46.333,2.4949,5.6819,8.1854
46.5,2.5099,5.6976,8.2017
46.667,2.5292,5.7088,8.2172
46.833,2.5412,5.7153,8.2332
47,2.5589,5.7181,8.2495
47.167,2.5744,5.7307,8.2659
47.333,2.5925,5.7544,8.2826
47.5,2.6085,5.7528,8.2995
47.667,2.6242,5.7848,8.315
47.833,2.6394,5.8002,8.3312
48,2.6536,5.8056,8.3449
48.167,2.6687,5.8299,8.3627
48.333,2.6862,5.8178,8.378
48.5,2.7028,5.8432,8.3924
48.667,2.7152,5.8496,8.4089
48.833,2.7324,5.8569,8.4249
49,2.7474,5.9011,8.4413
49.167,2.7639,5.9013,8.4576
49.333,2.7797,5.916,8.4723
49.5,2.7978,5.938,8.4885
49.667,2.8129,5.9592,8.5042
49.833,2.8281,5.9463,8.521
50,2.8426,5.9719,8.5366
50.167,2.8614,6.0207,8.5521
50.333,2.8758,6.0159,8.5663
50.5,2.8944,6.0547,8.5747
50.667,2.9068,6.0305,8.5978
50.833,2.9244,6.0488,8.6049
51,2.9361,6.0951,8.6282
51.167,2.9531,6.1087,8.6347
51.333,2.9695,6.1202,8.6598
51.5,2.9835,6.1422,8.675
51.667,2.9999,6.1368,8.682
51.833,3.0163,6.1711,8.706
52,3.0292,6.1858,8.7207
52.167,3.0455,6.2054,8.7356
52.333,3.0618,6.2075,8.7507
52.5,3.0753,6.2319,8.7652
52.667,3.0923,6.2679,8.7795
52.833,3.1083,6.2784,8.7948
53,3.1221,6.3146,8.8097
53.167,3.1376,6.3346,8.825
53.333,3.1528,6.3565,8.8399
53.5,3.1672,6.3569,8.8545
53.667,3.1792,6.3604,8.8704
53.833,3.1947,6.4008,8.8845
54,3.2098,6.4333,8.8978
54.167,3.228,6.4341,8.9141
54.333,3.2431,6.4723,8.9278
54.5,3.2563,6.4646,8.9428
54.667,3.2707,6.5104,8.9568
54.833,3.2844,6.5076,8.9717
55,3.2983,6.5259,8.9847
55.167,3.3111,6.5405,8.9989
55.333,3.3271,6.5806,9.0127
55.5,3.3405,6.5824,9.0268
55.667,3.3543,6.6153,9.0397
55.833,3.3694,6.6168,9.0542
56,3.382,6.6759,9.0664
56.167,3.3945,6.6676,9.0826
56.333,3.4092,6.6682,9.0962
56.5,3.4263,6.7171,9.1096
56.667,3.4415,6.7314,9.1236
56.833,3.4546,6.7311,9.1377
57,3.4684,6.7454,9.1521
57.167,3.4832,6.7653,9.1663
57.333,3.4968,6.7929,9.1785
57.5,3.513,6.8253,9.1936
57.667,3.5266,6.8302,9.2092
57.833,3.54,6.8719,9.2232
58,3.5556,6.8711,9.2372
58.167,3.5673,6.9036,9.2532
58.333,3.5821,6.9001,9.2671
58.5,3.5965,6.9394,9.2816
58.667,3.6125,6.9552,9.2948
58.833,3.6282,6.9788,9.3098
59,3.6436,6.9904,9.3243
59.167,3.6591,7.0364,9.3387
59.333,3.6709,7.0486,9.3524
59.5,3.6864,7.0413,9.3671
59.667,3.6989,7.0509,9.3812
59.833,3.7141,7.0853,9.3965
60,3.7276,7.108,9.4184
60.167,3.7441,7.1146,9.4335
60.333,3.7584,7.1247,9.4472
60.5,3.7714,7.1552,9.4623
60.667,3.7872,7.1958,9.4741
60.833,3.7994,7.1742,9.4889
61,3.8142,7.2207,9.5027
61.167,3.8266,7.2224,9.517
61.333,3.8414,7.2411,9.5305
61.5,3.8556,7.2709,9.5442
61.667,3.8676,7.2744,9.5593
61.833,3.8836,7.2746,9.5721
62,3.8965,7.293,9.5862
