Volume injected (mL), NC (-)
0,0.011312
0.00014889,0.01121
0.00029778,0.011605
0.00044667,0.011668
0.00059556,0.011629
0.00074444,0.01157
0.00089333,0.011455
0.0010422,0.011706
0.0011911,0.011158
0.00134,0.011685
0.0014889,0.011621
0.0016378,0.011473
0.0017867,0.011216
0.0019356,0.011688
0.0020844,0.011874
0.0022333,0.012079
0.0023822,0.011496
0.0025311,0.01171
0.00268,0.011602
0.0028289,0.011683
0.0029778,0.011478
0.0031267,0.011643
0.0032756,0.011365
0.0034244,0.011561
0.0035733,0.011268
0.0037222,0.011363
0.0038711,0.011724
0.00402,0.01208
0.0041689,0.011365
0.0043178,0.011567
0.0044667,0.01136
0.0046156,0.011884
0.0047644,0.011523
0.0049133,0.011514
0.0050622,0.01158
0.0052111,0.011668
0.00536,0.011224
0.0055089,0.011888
0.0056578,0.011753
0.0058067,0.011859
0.0059556,0.011505
0.0061044,0.011609
0.0062533,0.011512
0.0064022,0.011617
0.0065511,0.011389
0.0067,0.011868
0.0068489,0.011567
0.0069978,0.01174
0.0071467,0.011706
0.0072956,0.011678
0.0074444,0.011828
0.0075933,0.01173
0.0077422,0.011425
0.0078911,0.011713
0.00804,0.011811
0.0081889,0.011658
0.0083378,0.011501
0.0084867,0.011494
0.0086356,0.011814
0.0087844,0.011482
0.0089333,0.011467
0.0090822,0.011763
0.0092311,0.011752
0.00938,0.011654
0.0095289,0.01161
0.0096778,0.011753
0.0098267,0.012079
0.0099756,0.012021
0.010124,0.011532
0.010273,0.012025
0.010422,0.012274
0.010571,0.012185
0.01072,0.011907
0.010869,0.012134
0.011018,0.012217
0.011167,0.012342
0.011316,0.012121
0.011464,0.012523
0.011613,0.012783
0.011762,0.012902
0.011911,0.012429
0.01206,0.012552
0.012209,0.012997
0.012358,0.012788
0.012507,0.01283
0.012656,0.012872
0.012804,0.013125
0.012953,0.013154
0.013102,0.013186
0.013251,0.013131
0.0134,0.013536
0.013549,0.013786
0.013698,0.01348
0.013847,0.013792
0.013996,0.013982
0.014144,0.014251
0.014293,0.013897
0.014442,0.014221
0.014591,0.014464
0.01474,0.014761
0.014889,0.014267
0.015038,0.014608
0.015187,0.014997
0.015336,0.014865
0.015484,0.01477
0.015633,0.014786
0.015782,0.014788
0.015931,0.014845
0.01608,0.01485
0.016229,0.015364
0.016378,0.015296
0.016527,0.015538
0.016676,0.015295
0.016824,0.015833
0.016973,0.015867
0.017122,0.016158
0.017271,0.016123
0.01742,0.016188
0.017569,0.016694
0.017718,0.016489
0.017867,0.016649
0.018016,0.016882
0.018164,0.017131
0.018313,0.017314
0.018462,0.016772
0.018611,0.017262
0.01876,0.017296
0.018909,0.017559
0.019058,0.017555
0.019207,0.017894
0.019356,0.018131
0.019504,0.018174
0.019653,0.017824
0.019802,0.018337
0.019951,0.018388
0.0201,0.018453
0.020249,0.018455
0.020398,0.018827
0.020547,0.018698
0.020696,0.019061
0.020844,0.01922
0.020993,0.019205
0.021142,0.019344
0.021291,0.019808
0.02144,0.019628
0.021589,0.019814
0.021738,0.019757
0.021887,0.020035
0.022036,0.020051
0.022184,0.020247
0.022333,0.020314
0.022482,0.020789
0.022631,0.020837
0.02278,0.020868
0.022929,0.021094
0.023078,0.021207
0.023227,0.021094
0.023376,0.021391
0.023524,0.021635
0.023673,0.021934
0.023822,0.021797
0.023971,0.021981
0.02412,0.022119
0.024269,0.022333
0.024418,0.022286
0.024567,0.022538
0.024716,0.023004
0.024864,0.022976
0.025013,0.023038
0.025162,0.023315
0.025311,0.023489
0.02546,0.023611
0.025609,0.02343
0.025758,0.023938
0.025907,0.024332
0.026056,0.024212
0.026204,0.024507
0.026353,0.02478
0.026502,0.024807
0.026651,0.024766
