PF t [s],PF n_C [mol],ground t [s],ground n_C [mol]
202.075702075702,6.91764705882353e-7,201.159951159951,6.64313725490196e-7
208.180708180708,7.23137254901961e-7,216.117216117216,6.7921568627451e-7
213.980463980464,7.46666666666667e-7,231.074481074481,6.94117647058824e-7
220.08547008547,7.70980392156863e-7,246.336996336996,7.09019607843137e-7
225.885225885226,7.92156862745098e-7,261.294261294261,7.23137254901961e-7
231.990231990232,8.02352941176471e-7,276.251526251526,7.38039215686275e-7
238.095238095238,8.10980392156863e-7,291.208791208791,7.52941176470588e-7
244.200244200244,8.21176470588236e-7,306.166056166056,7.67843137254902e-7
250,8.32156862745098e-7,321.123321123321,7.81960784313725e-7
256.105006105006,8.42352941176471e-7,336.080586080586,7.96078431372549e-7
262.210012210012,8.50980392156863e-7,351.037851037851,8.09411764705882e-7
268.009768009768,8.61176470588235e-7,365.995115995116,8.22745098039215e-7
274.114774114774,8.69803921568628e-7,380.952380952381,8.35294117647059e-7
279.91452991453,8.7843137254902e-7,396.214896214896,8.48627450980392e-7
286.019536019536,8.87058823529412e-7,411.172161172161,8.62745098039216e-7
292.124542124542,8.94901960784314e-7,426.129426129426,8.75294117647059e-7
298.229548229548,9.02745098039216e-7,441.391941391941,8.88627450980393e-7
304.029304029304,9.10588235294118e-7,456.349206349206,9.00392156862745e-7
310.13431013431,9.1843137254902e-7,471.001221001221,9.12941176470588e-7
315.934065934066,9.26274509803922e-7,486.263736263736,9.25490196078431e-7
322.039072039072,9.33333333333333e-7,501.221001221001,9.37254901960785e-7
328.144078144078,9.40392156862745e-7,516.178266178266,9.49019607843137e-7
333.943833943834,9.46666666666667e-7,531.135531135531,9.6078431372549e-7
340.04884004884,9.54509803921569e-7,546.092796092796,9.72549019607843e-7
346.153846153846,9.6078431372549e-7,,
352.258852258852,9.72549019607843e-7,,
358.058608058608,9.82745098039216e-7,,
364.163614163614,9.9921568627451e-7,,
369.96336996337,1.02274509803922e-6,,
376.068376068376,1.05254901960784e-6,,
382.173382173382,1.07058823529412e-6,,
387.973137973138,1.08078431372549e-6,,
394.078144078144,1.0878431372549e-6,,
400.18315018315,1.10039215686275e-6,,
405.982905982906,1.11450980392157e-6,,
412.087912087912,0.00000112,,
418.192918192918,1.12705882352941e-6,,
423.992673992674,1.13647058823529e-6,,
430.09768009768,1.14666666666667e-6,,
435.897435897436,1.15529411764706e-6,,
442.002442002442,1.16078431372549e-6,,
448.107448107448,1.16627450980392e-6,,
453.907203907204,1.17176470588235e-6,,
460.01221001221,1.17647058823529e-6,,
466.117216117216,1.18117647058824e-6,,
471.916971916972,1.18588235294118e-6,,
478.021978021978,1.18980392156863e-6,,
484.126984126984,1.19450980392157e-6,,
489.92673992674,1.19843137254902e-6,,
496.031746031746,1.20235294117647e-6,,
501.831501831502,1.20705882352941e-6,,
507.936507936508,1.21098039215686e-6,,
514.041514041514,1.2156862745098e-6,,
520.14652014652,1.21882352941176e-6,,
525.946275946276,1.22274509803922e-6,,
532.051282051282,1.22666666666667e-6,,
538.156288156288,1.23686274509804e-6,,
543.956043956044,1.2556862745098e-6,,
550.06105006105,1.28392156862745e-6,,
