
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
-4.440892e-19, 7.384157e-03, 0.000000e+00, 1.990986e+01, 0.000000e+00
-4.302114e-19, 7.184585e-03, 0.000000e+00, 1.990593e+01, 0.000000e+00
4.771930e-05, 7.184584e-03, 0.000000e+00, 1.990606e+01, 6.766913e-05
4.771930e-05, 7.384156e-03, 0.000000e+00, 1.990998e+01, 8.255640e-05
1.049825e-04, 7.184584e-03, 0.000000e+00, 1.990635e+01, 9.107499e-05
1.049825e-04, 7.384156e-03, 0.000000e+00, 1.991023e+01, 1.266091e-04
-4.163337e-19, 6.985013e-03, 0.000000e+00, 1.990163e+01, 0.000000e+00
4.771930e-05, 6.985013e-03, 0.000000e+00, 1.990180e+01, 5.260218e-05
1.049825e-04, 6.985013e-03, 0.000000e+00, 1.990214e+01, 5.607801e-05
-4.024559e-19, 6.785441e-03, 0.000000e+00, 1.989691e+01, 0.000000e+00
4.771930e-05, 6.785441e-03, 0.000000e+00, 1.989711e+01, 3.729867e-05
1.049825e-04, 6.785441e-03, 0.000000e+00, 1.989751e+01, 3.194161e-05
-3.885781e-19, 6.585869e-03, 0.000000e+00, 1.989171e+01, 0.000000e+00
4.771930e-05, 6.585869e-03, 0.000000e+00, 1.989193e+01, 2.030322e-05
1.049825e-04, 6.585869e-03, 0.000000e+00, 1.989237e+01, 5.272961e-05
-3.747003e-19, 6.386298e-03, 0.000000e+00, 1.988594e+01, 0.000000e+00
4.771930e-05, 6.386297e-03, 0.000000e+00, 1.988618e+01, 7.555016e-06
1.049825e-04, 6.386297e-03, 0.000000e+00, 1.988666e+01, 1.054708e-04
-3.608225e-19, 6.186726e-03, 0.000000e+00, 1.987950e+01, 0.000000e+00
4.771930e-05, 6.186726e-03, 0.000000e+00, 1.987977e+01, 3.386371e-05
1.049825e-04, 6.186726e-03, 0.000000e+00, 1.988030e+01, 1.788008e-04
-3.469447e-19, 5.987154e-03, 0.000000e+00, 1.987244e+01, 0.000000e+00
4.771930e-05, 5.987154e-03, 0.000000e+00, 1.987273e+01, 7.511143e-05
1.049825e-04, 5.987154e-03, 0.000000e+00, 1.987329e+01, 2.771819e-04
-3.330669e-19, 5.787582e-03, 0.000000e+00, 1.986482e+01, 0.000000e+00
4.771930e-05, 5.787582e-03, 0.000000e+00, 1.986511e+01, 1.306420e-04
1.049825e-04, 5.787582e-03, 0.000000e+00, 1.986571e+01, 4.057327e-04
