
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
-4.44089231e-19, 7.38415681e-03, 0.00000000e+00, 2.00002937e+01, 0.00000000e+00
-4.30211441e-19, 7.18458463e-03, 0.00000000e+00, 2.00002975e+01, 0.00000000e+00
4.77192989e-05, 7.18458416e-03, 0.00000000e+00, 2.00002975e+01, 3.75605737e-06
4.77192989e-05, 7.38415634e-03, 0.00000000e+00, 2.00002956e+01, 3.64662174e-06
1.04982457e-04, 7.18458416e-03, 0.00000000e+00, 2.00002975e+01, 8.23644950e-06
1.04982457e-04, 7.38415634e-03, 0.00000000e+00, 2.00002937e+01, 7.99488043e-06
-4.16333651e-19, 6.98501291e-03, 0.00000000e+00, 2.00002975e+01, 0.00000000e+00
4.77192989e-05, 6.98501291e-03, 0.00000000e+00, 2.00002995e+01, 3.87572163e-06
1.04982457e-04, 6.98501291e-03, 0.00000000e+00, 2.00002975e+01, 8.50062497e-06
-4.02455861e-19, 6.78544072e-03, 0.00000000e+00, 2.00003014e+01, 0.00000000e+00
4.77192989e-05, 6.78544072e-03, 0.00000000e+00, 2.00002995e+01, 4.00728231e-06
1.04982457e-04, 6.78544072e-03, 0.00000000e+00, 2.00002995e+01, 8.79109939e-06
-3.88578071e-19, 6.58586947e-03, 0.00000000e+00, 2.00003014e+01, 0.00000000e+00
4.77192989e-05, 6.58586901e-03, 0.00000000e+00, 2.00002995e+01, 4.15274008e-06
1.04982457e-04, 6.58586901e-03, 0.00000000e+00, 2.00003014e+01, 9.11228381e-06
-3.74700281e-19, 6.38629775e-03, 0.00000000e+00, 2.00003052e+01, 0.00000000e+00
4.77192989e-05, 6.38629729e-03, 0.00000000e+00, 2.00003052e+01, 4.31451099e-06
1.04982457e-04, 6.38629729e-03, 0.00000000e+00, 2.00003033e+01, 9.46948603e-06
-3.60822490e-19, 6.18672557e-03, 0.00000000e+00, 2.00003052e+01, 0.00000000e+00
4.77192989e-05, 6.18672557e-03, 0.00000000e+00, 2.00003052e+01, 4.49550043e-06
1.04982457e-04, 6.18672557e-03, 0.00000000e+00, 2.00003033e+01, 9.86909708e-06
-3.46944700e-19, 5.98715385e-03, 0.00000000e+00, 2.00003071e+01, 0.00000000e+00
4.77192989e-05, 5.98715385e-03, 0.00000000e+00, 2.00003071e+01, 4.69921451e-06
1.04982457e-04, 5.98715385e-03, 0.00000000e+00, 2.00003090e+01, 1.03188222e-05
-3.33066910e-19, 5.78758214e-03, 0.00000000e+00, 2.00003090e+01, 0.00000000e+00
4.77192989e-05, 5.78758167e-03, 0.00000000e+00, 2.00003090e+01, 4.92981599e-06
1.04982457e-04, 5.78758167e-03, 0.00000000e+00, 2.00003109e+01, 1.08278855e-05
-3.19189146e-19, 5.58801042e-03, 0.00000000e+00, 2.00003090e+01, 0.00000000e+00
4.77192989e-05, 5.58800995e-03, 0.00000000e+00, 2.00003128e+01, 5.19231662e-06
1.04982457e-04, 5.58800995e-03, 0.00000000e+00, 2.00003128e+01, 1.14073655e-05
-3.05311356e-19, 5.38843824e-03, 0.00000000e+00, 2.00003128e+01, 0.00000000e+00
4.77192989e-05, 5.38843824e-03, 0.00000000e+00, 2.00003128e+01, 5.49321612e-06
1.04982457e-04, 5.38843824e-03, 0.00000000e+00, 2.00003109e+01, 1.20712948e-05
-2.91433566e-19, 5.18886652e-03, 0.00000000e+00, 2.00003128e+01, 0.00000000e+00
4.77192989e-05, 5.18886652e-03, 0.00000000e+00, 2.00003147e+01, 5.84031477e-06
1.04982457e-04, 5.18886652e-03, 0.00000000e+00, 2.00003128e+01, 1.28367874e-05
-2.77555776e-19, 4.98929527e-03, 0.00000000e+00, 2.00003147e+01, 0.00000000e+00
4.77192989e-05, 4.98929480e-03, 0.00000000e+00, 2.00003166e+01, 6.24299673e-06
1.04982457e-04, 4.98929480e-03, 0.00000000e+00, 2.00003185e+01, 1.37246188e-05
-2.63677986e-19, 4.78972308e-03, 0.00000000e+00, 2.00003166e+01, 0.00000000e+00
4.77192989e-05, 4.78972308e-03, 0.00000000e+00, 2.00003166e+01, 6.71326006e-06
1.04982457e-04, 4.78972308e-03, 0.00000000e+00, 2.00003185e+01, 1.47610572e-05
-2.49800196e-19, 4.59015137e-03, 0.00000000e+00, 2.00003166e+01, 0.00000000e+00
4.77192989e-05, 4.59015137e-03, 0.00000000e+00, 2.00003185e+01, 7.26617918e-06
1.04982457e-04, 4.59015137e-03, 0.00000000e+00, 2.00003223e+01, 1.59790616e-05
-2.35922406e-19, 4.39057918e-03, 0.00000000e+00, 2.00003204e+01, 0.00000000e+00
4.77192989e-05, 4.39057918e-03, 0.00000000e+00, 2.00003223e+01, 7.92076662e-06
1.04982457e-04, 4.39057918e-03, 0.00000000e+00, 2.00003242e+01, 1.74201887e-05
-2.22044615e-19, 4.19100793e-03, 0.00000000e+00, 2.00003223e+01, 0.00000000e+00
4.77192989e-05, 4.19100747e-03, 0.00000000e+00, 2.00003262e+01, 8.70134681e-06
1.04982457e-04, 4.19100747e-03, 0.00000000e+00, 2.00003319e+01, 1.91374893e-05
-2.08166825e-19, 3.99143575e-03, 0.00000000e+00, 2.00003242e+01, 0.00000000e+00
4.77192989e-05, 3.99143575e-03, 0.00000000e+00, 2.00003300e+01, 9.63938237e-06
1.04982457e-04, 3.99143575e-03, 0.00000000e+00, 2.00003357e+01, 2.11994120e-05
-1.94289035e-19, 3.79186403e-03, 0.00000000e+00, 2.00003281e+01, 0.00000000e+00
4.77192989e-05, 3.79186403e-03, 0.00000000e+00, 2.00003338e+01, 1.07760943e-05
1.04982457e-04, 3.79186403e-03, 0.00000000e+00, 2.00003452e+01, 2.36953274e-05
-1.80411245e-19, 3.59229231e-03, 0.00000000e+00, 2.00003357e+01, 0.00000000e+00
4.77192989e-05, 3.59229208e-03, 0.00000000e+00, 2.00003395e+01, 1.21651092e-05
1.04982457e-04, 3.59229208e-03, 0.00000000e+00, 2.00003510e+01, 2.67417836e-05
-1.66533468e-19, 3.39272036e-03, 0.00000000e+00, 2.00003414e+01, 0.00000000e+00
4.77192989e-05, 3.39272036e-03, 0.00000000e+00, 2.00003490e+01, 1.38771375e-05
1.04982457e-04, 3.39272036e-03, 0.00000000e+00, 2.00003605e+01, 3.04927380e-05
-1.52655678e-19, 3.19314888e-03, 0.00000000e+00, 2.00003510e+01, 0.00000000e+00
4.77192989e-05, 3.19314864e-03, 0.00000000e+00, 2.00003605e+01, 1.60030522e-05
1.04982457e-04, 3.19314864e-03, 0.00000000e+00, 2.00003738e+01, 3.51489543e-05
-1.38777888e-19, 2.99357693e-03, 0.00000000e+00, 2.00003662e+01, 0.00000000e+00
4.77192989e-05, 2.99357693e-03, 0.00000000e+00, 2.00003796e+01, 1.86705820e-05
1.04982457e-04, 2.99357693e-03, 0.00000000e+00, 2.00003929e+01, 4.09879431e-05
-1.24900098e-19, 2.79400521e-03, 0.00000000e+00, 2.00003853e+01, 0.00000000e+00
4.77192989e-05, 2.79400498e-03, 0.00000000e+00, 2.00003986e+01, 2.20359725e-05
1.04982457e-04, 2.79400498e-03, 0.00000000e+00, 2.00004215e+01, 4.83576514e-05
-1.11022308e-19, 2.59443326e-03, 0.00000000e+00, 2.00004120e+01, 0.00000000e+00
4.77192989e-05, 2.59443326e-03, 0.00000000e+00, 2.00004292e+01, 2.63482962e-05
1.04982457e-04, 2.59443326e-03, 0.00000000e+00, 2.00004578e+01, 5.77801839e-05
-9.71445241e-20, 2.39486154e-03, 0.00000000e+00, 2.00004539e+01, 0.00000000e+00
4.77192989e-05, 2.39486154e-03, 0.00000000e+00, 2.00004749e+01, 3.18370367e-05
1.04982457e-04, 2.39486154e-03, 0.00000000e+00, 2.00005112e+01, 6.98235890e-05
-8.32667340e-20, 2.19528959e-03, 0.00000000e+00, 2.00005074e+01, 0.00000000e+00
4.77192989e-05, 2.19528959e-03, 0.00000000e+00, 2.00005302e+01, 3.91300273e-05
1.04982457e-04, 2.19528959e-03, 0.00000000e+00, 2.00005722e+01, 8.56826009e-05
-6.93889440e-20, 1.99571787e-03, 0.00000000e+00, 2.00005970e+01, 0.00000000e+00
4.77192989e-05, 1.99571787e-03, 0.00000000e+00, 2.00006237e+01, 4.82719297e-05
1.04982457e-04, 1.99571787e-03, 0.00000000e+00, 2.00006714e+01, 1.05811465e-04
-5.55111539e-20, 1.79614616e-03, 0.00000000e+00, 2.00006561e+01, 0.00000000e+00
4.77192989e-05, 1.79614604e-03, 0.00000000e+00, 2.00006924e+01, 6.17760234e-05
1.04982457e-04, 1.79614604e-03, 0.00000000e+00, 2.00007610e+01, 1.34774324e-04
-4.16333670e-20, 1.59657444e-03, 0.00000000e+00, 2.00009251e+01, 0.00000000e+00
4.77192989e-05, 1.59657432e-03, 0.00000000e+00, 2.00009518e+01, 8.60178843e-05
1.04982457e-04, 1.59657432e-03, 0.00000000e+00, 2.00010090e+01, 1.81228534e-04
-2.77555802e-20, 1.39700260e-03, 0.00000000e+00, 2.00018120e+01, 0.00000000e+00
4.77192989e-05, 1.39700249e-03, 0.00000000e+00, 2.00018482e+01, 1.61538308e-04
1.04982457e-04, 1.39700249e-03, 0.00000000e+00, 2.00018578e+01, 2.93979509e-04
-1.38777917e-20, 1.19743077e-03, 0.00000000e+00, 2.00083466e+01, 0.00000000e+00
4.77192989e-05, 1.19743077e-03, 0.00000000e+00, 2.00081806e+01, 2.91523611e-04
1.04982457e-04, 1.19743077e-03, 0.00000000e+00, 2.00069408e+01, 4.78519360e-04
0.00000000e+00, 9.97858937e-04, 0.00000000e+00, 2.00142651e+01, 0.00000000e+00
4.77192989e-05, 9.97858937e-04, 0.00000000e+00, 2.00129242e+01, 1.00000005e-03
1.04982457e-04, 9.97858937e-04, 0.00000000e+00, 2.00076599e+01, 1.00000005e-03
5.94484212e-04, 7.18458416e-03, 0.00000000e+00, 2.00002995e+01, 4.50635343e-05
5.94484212e-04, 7.38415634e-03, 0.00000000e+00, 2.00002956e+01, 4.37099588e-05
1.08398590e-03, 7.18458416e-03, 0.00000000e+00, 2.00002995e+01, 7.89676051e-05
1.08398590e-03, 7.38415634e-03, 0.00000000e+00, 2.00002956e+01, 7.65775985e-05
5.94484212e-04, 6.98501291e-03, 0.00000000e+00, 2.00002995e+01, 4.65403646e-05
1.08398590e-03, 6.98501291e-03, 0.00000000e+00, 2.00003014e+01, 8.15652602e-05
5.94484212e-04, 6.78544072e-03, 0.00000000e+00, 2.00003033e+01, 4.81596762e-05
1.08398590e-03, 6.78544072e-03, 0.00000000e+00, 2.00003052e+01, 8.44007736e-05
5.94484212e-04, 6.58586901e-03, 0.00000000e+00, 2.00003033e+01, 4.99441667e-05
1.08398590e-03, 6.58586901e-03, 0.00000000e+00, 2.00003052e+01, 8.75094920e-05
5.94484212e-04, 6.38629729e-03, 0.00000000e+00, 2.00003071e+01, 5.19208079e-05
1.08398590e-03, 6.38629729e-03, 0.00000000e+00, 2.00003071e+01, 9.09329101e-05
5.94484212e-04, 6.18672557e-03, 0.00000000e+00, 2.00003090e+01, 5.41216505e-05
