# 
# 07/07/2022 11:14:39
# The parameters defined in the project are:
# ,P1 - Edge Sizing Number of Divisions,P2 - Edge Sizing 2 Number of Divisions,P3 - Inflation Maximum Layers,P9 - wall_shear_max-op [Pa],P11 - wall_shear_min-op [Pa],P12 - wall_shear_avg-op [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P9,P11,P12
DP 0,500,10,2,0.0015262963,3.9870588E-06,1.9821888E-05
DP 7,500,20,2,0.0015744937,4.2033143E-06,2.1022894E-05
DP 8,500,30,2,0.0016187455,4.2066113E-06,2.1069574E-05
DP 9,500,50,2,0.0016468107,4.2142196E-06,2.1028918E-05
DP 10,500,70,2,0.0016546333,4.192138E-06,2.1025663E-05
DP 15,500,40,2,0.0016403652,4.2289844E-06,2.1286044E-05
DP 17,500,60,2,0.0016524341,4.1601102E-06,2.0786149E-05
DP 18,500,5,2,0.0014737892,3.7821749E-06,1.8926034E-05
DP 19,500,80,2,0.0016536808,4.265602E-06,2.1274963E-05
DP 20,500,1,2,0.0013957819,1.8479988E-06,1.0008187E-05
DP 21,500,90,2,0.0016528205,4.1578628E-06,2.0825723E-05
DP 22,500,2,2,0.0014417605,3.164396E-06,1.6120252E-05
DP 23,500,4,2,0.0014528526,3.5476603E-06,1.7863555E-05
