# 
# 07/05/2022 14:18:24
# The parameters defined in the project are:
# ,P1 - Edge Sizing Number of Divisions,P2 - Edge Sizing 2 Number of Divisions,P3 - Inflation Maximum Layers,P9 - wall_shear_max-op [Pa],P11 - wall_shear_min-op [Pa],P12 - wall_shear_avg-op [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P9,P11,P12
DP 0,500,30,2,0.0014645493,1.1306246E-09,5.9950285E-06
DP 1,500,60,2,0.0014743481,2.6117541E-09,6.095172E-06
DP 2,500,80,2,0.001510432,1.976905E-10,6.1900326E-06
DP 3,500,40,2,0.0014730219,2.6944054E-09,6.1014908E-06
DP 4,500,50,2,0.0014712152,3.5120875E-09,6.0901136E-06
DP 5,500,70,2,0.0014959767,1.4623165E-09,6.1552738E-06
DP 6,500,30,2,0.0014645493,1.1306246E-09,5.9950285E-06
DP 7,500,10,2,0.0014568397,2.9093741E-10,5.381707E-06
DP 8,500,30,2,0.0014645493,1.1306246E-09,5.9950285E-06
DP 9,500,20,2,0.0014583331,2.1865523E-09,5.7116972E-06
DP 10,500,30,2,0.0014645493,1.1306246E-09,5.9950285E-06
DP 11,500,100,2,0.0015220969,5.3539995E-09,6.2108808E-06
