# 
# 07/06/2022 09:28:17
# The parameters defined in the project are:
# ,P1 - Edge Sizing Number of Divisions,P2 - Edge Sizing 2 Number of Divisions,P3 - Inflation Maximum Layers,P9 - wall_shear_max-op [Pa],P11 - wall_shear_min-op [Pa],P12 - wall_shear_avg-op [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P9,P11,P12
DP 0,150,40,2,0.00057351188,3.3776054E-08,5.2113344E-06
DP 7,350,40,2,0.0011178554,1.6119273E-09,5.6330822E-06
DP 8,500,40,2,0.0014741775,6.6104926E-09,6.2177066E-06
DP 9,1000,40,2,0.0024490075,2.1481796E-09,6.9573121E-06
DP 10,1500,40,2,0.0032894055,1.8436213E-09,7.2180809E-06
DP 11,2000,40,2,0.0040979395,1.4402422E-10,7.3836441E-06
DP 12,2500,40,2,0.0048804549,2.0621696E-10,7.5071865E-06
DP 13,3000,40,2,0.0056653339,1.1612489E-09,7.5988964E-06
DP 14,5000,40,2,0.0087312581,1.2353236E-09,7.9122703E-06
DP 15,750,40,2,0.0019909758,2.7691585E-09,6.6808291E-06
DP 16,1750,40,2,0.0037006869,2.7671836E-09,7.3095575E-06
DP 17,1250,40,2,0.0028798669,2.5287927E-09,7.1072715E-06
